ASID	MID	Mnmols	ASnmols
AS189	M97	1	1
AS189	M98	1	1
AS189	M96	1	1
AS190	M164	1	1
AS190	M163	1	1
AS191	M719	1	1
AS191	M720	1	1
AS191	M718	1	1
AS192	M729	1	1
AS192	M730	1	1
AS192	M728	1	1
AS192	M727	1	1
AS193	M3	2	2
AS193	M4	1	2
AS194	M461	1	1
AS195	M90	1	1
AS196	M63	1	1
AS197	M415	1	1
AS198	M258	1	1
AS198	M257	1	1
AS198	M255	1	1
AS198	M256	1	1
AS199	M622	1	1
AS199	M621	1	1
AS199	M623	1	1
AS200	M691	1	1
AS200	M692	1	1
AS200	M694	1	1
AS200	M693	1	1
AS201	M417	1	1
AS202	M598	1	1
AS202	M599	1	1
AS202	M597	1	1
AS202	M596	1	1
AS203	M453	1	1
AS203	M452	1	1
AS204	M231	1	1
AS204	M232	1	1
AS204	M233	1	1
AS204	M230	1	1
AS205	M70	1	1
AS205	M71	1	1
AS206	M501	1	1
AS207	M402	1	1
AS207	M401	1	1
AS208	M364	1	1
AS209	M377	1	1
AS209	M378	1	1
AS210	M16	1	1
AS210	M15	1	1
AS211	M436	1	1
AS211	M435	1	1
AS212	M664	1	1
AS212	M666	1	1
AS212	M665	1	1
AS213	M732	1	1
AS214	M462	1	1
AS214	M463	1	1
AS215	M383	1	1
AS216	M500	1	1
AS217	M318	1	1
AS218	M637	1	1
AS218	M636	1	1
AS218	M638	1	1
AS219	M110	1	1
AS220	M9	1	1
AS220	M10	1	1
AS221	M141	1	1
AS221	M140	1	1
AS222	M86	1	1
AS223	M300	1	1
AS223	M299	1	1
AS223	M301	1	1
AS224	M363	1	1
AS225	M348	1	1
AS226	M188	1	1
AS226	M186	1	1
AS226	M187	1	1
AS227	M725	1	1
AS227	M724	1	1
AS228	M447	1	1
AS229	M422	1	1
AS230	M74	1	1
AS231	M115	1	1
AS231	M116	1	1
AS232	M416	1	1
AS233	M431	1	1
AS234	M61	1	1
AS234	M62	1	1
AS235	M237	1	1
AS236	M279	1	1
AS237	M726	1	1
AS238	M113	1	1
AS238	M114	1	1
AS239	M731	1	1
AS240	M618	1	1
AS241	M721	1	1
AS242	M142	1	1
AS242	M143	1	1
AS243	M722	1	1
AS244	M723	1	1
AS245	M356	1	1
AS246	M424	1	1
