SBSMID	Unigene	active	Molecule
SBSM481219	DNMT3B	false	NC(CCSCC1OC(n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)nc(Cl)nc32)C(O)C1O)C(=O)O
SBSM481962	DNMT3B	true	NC(CCSCC1OC(n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)C(O)C1O)C(=O)O
SBSM481045	DNMT3B	true	Nc1ncnc2c1nnn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM483954	DNMT3B	true	Nc1nccc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM485070	DNMT3B	false	Nc1ccnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM13781	DNMT3B	true	CC1OC(CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O
SBSM477877	DNMT3B	false	Nc1ncnc2c1ncn2C1OC(CSC2CNC2)C(O)C1O
SBSM479868	DNMT3B	true	NC(CCSCC1OC(n2cnc3c(Nc4ccccc4)ncnc32)C(O)C1O)C(=O)O
SBSM483670	DNMT3B	true	NC(CCSCC1OC(n2cnc3c(NCc4ccncc4)ncnc32)C(O)C1O)C(=O)O
SBSM483256	DNMT3B	false	Nc1ncnc2c1ncn2C1OC(CSC2CCCC2N)C(O)C1O
SBSM49648	DNMT3B	false	Nc1ncnc2c1ncn2C1OC(CSCC2CCCN2)C(O)C1O
SBSM49315	DNMT3B	true	Nc1ncnc2c1ncn2C1OC(CSC2CCNC(C(=O)O)C2)C(O)C1O
SBSM484716	DNMT3B	true	NC(CCSCC1OC(n2cnc3c(NCCc4ccccc4)ncnc32)C(O)C1O)C(=O)O
SBSM483574	DNMT3B	true	NC(CCSCC1OC(n2cnc3c(NCCCc4ccccc4)ncnc32)C(O)C1O)C(=O)O
SBSM37397	DNMT3B	false	OC(CNCCc1c[nH]c2ccccc12)Cn1c2ccccc2c2ccccc21
SBSM245989	DNMT3B	true	Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1
SBSM10552	DNMT3B	false	NC(CCSCC1OC(n2cnc3c(=O)[nH]cnc32)C(O)C1O)C(=O)O
SBSM122216	DNMT1	true	Nc1cc(S(=O)(=O)O)cc([N+](=O)[O-])c1O
SBSM22946	DNMT3A	false	CSc1ccc(OCC(=O)O)cc1C
SBSM23033	DNMT3A	false	Cc1cc(OCC(=O)O)ccc1S(C)(=O)=O
SBSM577	DNMT1	true	CCN(CC)CCNC(=O)c1ccc(N)cc1
SBSM534517	DNMT3A	false	Cc1cc(OCC(=O)O)ccc1S(C)=O
SBSM132391	DNMT1	true	CC(C)(CS(=O)(=O)[O-])NC(=O)CC[N+](C)(C)CCO
SBSM134610	DNMT1	true	COC(=O)/C(C(C)=O)=C(\C=C\C=C\C=C\N(C)C)N(C)C
SBSM10472	DNMT1	false	CN(CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM1413	DNMT1	true	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM1413	DNMT3A	false	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM350269	DNMT3A	false	CCNC(=O)NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM477663	DNMT1	true	Nc1nc(F)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM482949	DNMT1	false	CSc1nc(N)c2ncn(C3OC(CSCCC(N)C(=O)O)C(O)C3O)c2n1
SBSM483116	DNMT1	false	Nc1nc(I)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM483549	DNMT1	true	Cc1nc(N)c2ncn(C3OC(CSCCC(N)C(=O)O)C(O)C3O)c2n1
SBSM483602	DNMT1	false	COc1nc(N)c2ncn(C3OC(CSCCC(N)C(=O)O)C(O)C3O)c2n1
SBSM484929	DNMT1	false	NC(CCSCC1OC(n2cnc3cncnc32)C(O)C1O)C(=O)O
SBSM485376	DNMT1	true	Nc1nc(Cl)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM7711	DNMT1	false	NCCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM9598	DNMT1	false	NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM22993	DNMT3A	false	O=C(O)COc1ccc2ccccc2c1
SBSM13008	DNMT1	false	O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O
SBSM323416	DNMT1	false	COc1cc2nc(N3CCCC3)nc(NCCCCCN3CCCC3)c2cc1OC
SBSM37539	DNMT1	true	Nc1ncnc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O
SBSM37540	DNMT1	true	Nc1ncnc2c1ncn2C1OC(CSC2CCNC2)C(O)C1O
SBSM477645	DNMT1	false	Nc1nc(Cl)nc2c1ncn2C1OC(CSC2CCNC2)C(O)C1O
SBSM480574	DNMT1	true	COC(=O)C1CC(SCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)CN1C
SBSM480755	DNMT1	true	COC(=O)C1CC(SCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)CN1
SBSM483117	DNMT1	false	CN1CC(SCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)CC1C(=O)O
SBSM483575	DNMT1	true	Nc1nc(Cl)nc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O
